,pclass,sex,age,sibsp,parch,fare,embarked,boat,survived
280,1,1,54.0,1,0,55.4417,0,0,1
281,1,0,43.0,1,0,55.4417,0,13,1
282,1,0,52.0,1,0,78.2667,0,12,1
288,1,0,48.0,0,0,25.9292,2,18,1
289,1,0,18.0,0,2,79.65,2,18,1
291,1,0,39.0,1,1,79.65,2,18,1
292,1,1,48.0,1,0,52.0,2,14,1
295,1,1,17.0,0,2,110.8833,0,22,1
296,1,0,39.0,1,1,110.8833,0,12,1
298,1,1,31.0,0,0,28.5375,0,17,1
302,1,0,35.0,0,0,512.3292,0,11,1
304,1,0,60.0,1,0,75.25,0,13,1
308,1,0,55.0,0,0,135.6333,0,18,1
309,1,0,31.0,0,2,164.8667,2,18,1
311,1,0,45.0,1,1,164.8667,2,18,1
314,1,0,50.0,1,1,211.5,0,12,1
315,1,0,21.0,0,0,26.55,2,19,1
317,1,1,21.0,0,1,61.3792,0,21,1
319,1,0,31.0,0,0,134.5,0,11,1
322,1,0,36.0,0,0,135.6333,0,18,1
324,2,0,28.0,1,0,24.0,0,1,1
329,2,0,36.0,1,0,26.0,2,2,1
333,2,0,36.0,0,0,13.0,2,1,1
336,2,1,32.0,1,0,26.0,2,4,1
337,2,0,19.0,1,0,26.0,2,4,1
339,2,1,1.0,2,1,39.0,2,2,1
340,2,0,4.0,2,1,39.0,2,2,1
341,2,0,12.0,2,1,39.0,2,4,1
342,2,0,36.0,0,3,39.0,2,2,1
343,2,1,34.0,0,0,13.0,2,4,1
344,2,0,19.0,0,0,13.0,2,3,1
349,2,0,24.0,0,0,13.0,2,2,1
350,2,0,15.0,0,2,39.0,2,7,1
352,2,0,40.0,1,1,39.0,2,7,1
353,2,0,20.0,1,0,26.0,2,3,1
355,2,0,36.0,0,0,13.0,2,20,1
359,2,1,0.8333,0,2,29.0,2,4,1
360,2,1,26.0,1,1,29.0,2,4,1
361,2,0,22.0,1,1,29.0,2,4,1
362,2,0,35.0,0,0,21.0,2,7,1
370,2,0,25.0,1,1,30.0,2,3,1
371,2,0,45.0,0,2,30.0,2,3,1
373,2,0,28.0,1,0,26.0,2,7,1
376,2,1,24.0,0,0,10.5,2,20,1
377,2,0,8.0,0,2,26.25,2,7,1
379,2,0,31.0,1,1,26.25,2,7,1
380,2,0,22.0,0,0,10.5,2,7,1
385,2,1,8.0,1,1,36.75,2,7,1
387,2,0,48.0,0,2,36.75,2,7,1
388,2,0,28.0,0,0,13.0,2,4,1
392,2,0,24.0,1,0,27.7208,0,3,1
398,2,1,8.0,0,2,32.5,2,1,1
400,2,0,34.0,1,1,32.5,2,1,1
401,2,0,27.0,1,0,13.8583,0,3,1
402,2,0,30.0,1,0,13.8583,0,3,1
407,2,0,29.0,1,0,26.0,2,9,1
415,2,0,34.0,0,0,13.0,2,3,1
427,2,1,0.6667,1,1,14.5,2,12,1
428,2,0,24.0,0,2,14.5,2,12,1
430,2,0,6.0,0,1,33.0,2,2,1
432,2,1,62.0,0,0,10.5,2,8,1
434,2,0,7.0,0,2,26.25,2,7,1
436,2,0,45.0,1,1,26.25,2,7,1
437,2,0,24.0,1,2,65.0,2,20,1
438,2,0,24.0,1,2,65.0,2,20,1
440,2,0,48.0,1,2,65.0,2,20,1
441,2,0,55.0,0,0,16.0,2,4,1
446,2,0,20.0,2,1,23.0,2,12,1
449,2,0,54.0,1,3,23.0,2,12,1
452,2,0,29.0,1,0,26.0,2,1,1
454,2,1,42.0,0,0,13.0,2,1,1
460,2,0,24.0,2,1,27.0,2,3,1
465,2,0,23.0,0,0,13.7917,0,2,1
467,2,0,24.0,1,0,26.0,2,3,1
471,2,0,45.0,0,0,13.5,2,20,1
478,2,0,1.0,1,2,41.5792,0,7,1
479,2,0,3.0,1,2,41.5792,0,7,1
481,2,0,22.0,1,2,41.5792,0,7,1
482,2,0,17.0,0,0,12.0,0,3,1
484,2,0,34.0,0,0,10.5,2,7,1
492,2,1,1.0,0,2,37.0042,0,1,1
494,2,0,24.0,1,1,37.0042,0,1,1
501,2,0,13.0,0,1,19.5,2,7,1
502,2,0,41.0,0,1,19.5,2,7,1
503,2,1,19.0,0,0,10.5,2,22,1
514,2,1,2.0,1,1,26.0,2,25,1
515,2,1,3.0,1,1,26.0,2,25,1
520,2,1,20.0,0,0,13.8625,0,17,1
521,2,0,29.0,0,0,10.5,2,2,1
523,2,1,22.0,0,0,10.5,2,4,1
526,2,1,29.0,0,0,13.8583,0,20,1
529,2,0,50.0,0,1,26.0,2,3,1
533,2,0,21.0,0,1,21.0,2,3,1
534,2,0,19.0,0,0,26.0,2,2,1
536,2,0,32.0,0,0,13.0,2,20,1
538,2,1,30.0,0,0,12.7375,0,7,1
540,2,0,2.0,1,1,26.0,2,2,1
541,2,0,8.0,1,1,26.0,2,2,1
542,2,0,33.0,0,2,26.0,2,2,1
544,2,1,34.0,1,0,21.0,2,3,0
546,2,0,28.0,0,0,13.0,2,20,1
548,2,1,0.8333,1,1,18.75,2,12,1
549,2,1,3.0,1,1,18.75,2,12,1
550,2,0,24.0,2,3,18.75,2,12,1
551,2,0,50.0,0,0,10.5,2,4,1
553,2,0,21.0,0,0,10.5,2,3,1
557,2,0,25.0,0,1,26.0,2,3,1
558,2,0,18.0,0,2,13.0,2,9,1
559,2,0,20.0,0,0,36.75,2,2,1
560,2,0,30.0,0,0,13.0,2,1,1
562,2,0,30.0,0,0,12.35,1,4,1
564,2,0,40.0,0,0,13.0,2,20,1
570,2,0,50.0,0,0,10.5,2,20,1
573,2,0,27.0,0,0,10.5,2,9,1
577,2,0,31.0,0,0,21.0,2,7,1
580,2,0,31.0,0,0,21.0,2,1,1
582,2,0,12.0,0,0,15.75,2,20,1
583,2,0,40.0,0,0,15.75,2,20,1
584,2,0,32.5,0,0,13.0,2,3,1
586,2,0,29.0,1,0,26.0,2,1,1
587,2,1,2.0,1,1,23.0,2,7,1
588,2,0,4.0,1,1,23.0,2,7,1
589,2,0,29.0,0,2,23.0,2,7,1
590,2,0,0.9167,1,2,27.75,2,1,1
591,2,0,5.0,1,2,27.75,2,1,1
593,2,0,33.0,1,2,27.75,2,1,1
596,2,1,31.0,0,0,13.0,2,20,1
598,2,0,26.0,0,0,13.5,2,20,1
603,3,0,35.0,1,1,20.25,2,21,1
604,3,0,16.0,0,0,7.65,2,9,1
605,3,1,25.0,0,0,7.65,2,21,1
606,3,1,20.0,0,0,7.925,2,8,1
607,3,0,18.0,0,0,7.2292,0,23,1
611,3,1,0.8333,0,1,9.35,2,2,1
612,3,0,18.0,0,1,9.35,2,4,1
613,3,1,26.0,0,0,18.7875,0,8,1
621,3,0,19.0,1,0,7.8542,2,9,1
625,3,0,17.0,4,2,7.925,2,25,1
630,3,1,27.0,0,0,7.7958,2,21,1
641,3,1,3.0,4,2,31.3875,2,8,1
643,3,0,5.0,4,2,31.3875,2,8,1
645,3,1,23.0,0,0,7.7958,2,4,1
646,3,0,38.0,1,5,31.3875,2,8,1
647,3,0,45.0,0,0,7.225,0,23,1
653,3,0,13.0,0,0,7.2292,0,23,1
655,3,1,32.0,1,0,15.85,2,25,0
657,3,0,0.75,2,1,19.2583,0,23,1
658,3,0,0.75,2,1,19.2583,0,23,1
659,3,0,5.0,2,1,19.2583,0,23,1
660,3,0,24.0,0,3,19.2583,0,23,1
661,3,0,18.0,0,0,8.05,2,23,1
664,3,1,20.0,0,0,7.2292,0,8,1
674,3,1,32.0,0,0,56.4958,2,23,1
686,3,0,22.0,0,0,7.725,1,4,1
693,3,1,21.0,0,0,7.8208,1,4,1
709,3,0,16.0,0,0,7.75,1,9,1
714,3,1,32.0,0,0,56.4958,2,23,1
719,3,1,18.0,0,0,8.05,2,3,1
725,3,0,22.0,0,0,7.75,1,4,1
733,3,1,9.0,1,1,15.9,2,10,1
734,3,1,3.0,1,1,15.9,2,10,1
735,3,0,36.0,0,2,15.9,2,10,1
738,3,0,17.0,0,1,16.1,2,3,1
742,3,1,45.0,0,0,8.05,2,8,1
745,3,0,30.0,0,0,6.95,1,8,1
746,3,1,29.0,0,0,7.75,1,6,1
758,3,1,36.5,1,0,17.4,2,8,1
759,3,0,36.0,1,0,17.4,2,4,1
760,3,1,30.0,0,0,9.5,2,2,1
762,3,1,1.0,1,2,20.575,2,1,1
763,3,0,0.1667,1,2,20.575,2,1,1
765,3,0,33.0,1,2,20.575,2,1,1
771,3,0,19.0,0,0,7.8792,1,23,1
777,3,1,19.0,0,0,8.05,2,22,1
778,3,0,30.0,0,0,12.475,2,4,1
783,3,1,24.0,0,0,7.55,2,25,1
785,3,0,22.0,1,0,13.9,2,9,1
794,3,0,5.0,0,0,12.475,2,4,1
818,3,0,16.0,0,0,7.7333,1,9,1
820,3,1,9.0,0,2,20.525,2,24,1
823,3,0,31.0,1,1,20.525,2,24,1
845,3,0,24.0,1,0,15.85,2,8,1
851,3,0,45.0,1,0,14.1083,2,2,1
853,3,1,25.0,0,0,7.25,2,22,0
857,3,1,27.0,0,0,6.975,2,8,1
862,3,0,22.0,0,0,8.9625,2,23,1
866,3,0,2.0,0,1,12.2875,2,8,1
867,3,0,22.0,1,1,12.2875,2,8,1
880,3,1,29.0,0,0,7.8958,0,8,1
881,3,1,21.0,0,0,7.7958,2,21,1
889,3,1,26.0,0,0,7.775,2,8,1
894,3,1,4.0,1,1,11.1333,2,8,1
895,3,0,1.0,1,1,11.1333,2,8,1
899,3,0,27.0,0,2,11.1333,2,8,1
905,3,1,32.0,0,0,7.8542,2,8,1
909,3,1,32.0,0,0,7.925,2,8,1
913,3,1,21.0,0,0,7.7958,2,4,1
916,3,0,4.0,0,1,13.4167,0,8,1
917,3,1,39.0,0,1,13.4167,0,8,1
934,3,0,4.0,0,2,22.025,2,10,1
935,3,1,29.0,3,1,22.025,2,10,1
936,3,0,26.0,1,1,22.025,2,10,1
941,3,1,25.0,0,0,7.2292,0,1,1
947,3,0,22.0,0,0,7.25,2,4,1
949,3,1,26.0,0,0,56.4958,2,7,1
953,3,1,22.0,0,0,7.225,0,16,1
968,3,1,36.0,1,0,15.55,2,21,0
969,3,0,30.0,1,0,15.55,2,21,0
970,3,1,20.0,1,0,7.925,2,8,1
978,3,1,27.0,0,0,8.6625,2,8,1
980,3,0,23.0,0,0,7.8542,2,1,1
981,3,1,32.0,0,0,7.5792,2,8,1
985,3,1,24.0,0,0,7.1417,2,4,1
1017,3,1,21.0,0,0,7.775,2,8,1
1025,3,1,6.0,0,1,12.475,2,7,1
1026,3,0,27.0,0,1,12.475,2,7,1
1040,3,0,24.0,0,0,7.75,1,8,1
1047,3,0,15.0,0,0,7.225,0,23,1
1048,3,0,1.0,0,2,15.7417,0,23,1
1049,3,1,20.0,1,1,15.7417,0,23,1
1050,3,0,19.0,1,1,15.7417,0,23,1
1056,3,1,12.0,1,0,11.2417,0,23,1
1057,3,0,14.0,1,0,11.2417,0,23,1
1060,3,0,18.0,0,0,7.775,2,25,1
1061,3,0,26.0,0,0,7.8542,2,4,1
1064,3,1,39.0,0,0,7.925,2,20,1
1067,3,0,22.0,0,0,7.75,2,4,1
1079,3,0,22.0,0,0,7.775,2,23,1
1082,3,1,9.0,0,1,3.1708,2,4,1
1088,3,1,32.0,0,0,7.775,2,21,1
1120,3,1,25.0,1,0,7.775,2,8,1
1131,3,1,32.0,0,0,8.05,2,20,1
1182,3,0,21.0,0,0,7.65,2,23,1
1187,3,0,1.0,1,1,16.7,2,4,1
1188,3,0,24.0,0,2,16.7,2,4,1
1189,3,0,4.0,1,1,16.7,2,4,1
1190,3,1,25.0,0,0,9.5,2,2,1
1196,3,1,29.0,0,0,9.5,2,2,1
1205,3,0,18.0,0,0,7.4958,2,9,1
1223,3,0,23.0,0,0,7.55,2,23,1
1228,3,1,31.0,0,0,7.925,2,20,1
1232,3,1,16.0,0,0,8.05,2,22,1
1233,3,1,44.0,0,0,7.925,2,8,1
1236,3,1,14.0,0,0,9.225,2,4,1
1238,3,1,25.0,0,0,7.7958,2,5,1
1240,3,1,0.4167,0,1,8.5167,0,9,1
1244,3,0,16.0,1,1,8.5167,0,7,1
1254,3,1,25.0,0,0,0.0,2,8,1
1256,3,1,7.0,1,1,15.2458,0,23,1
1257,3,0,9.0,1,1,15.2458,0,23,1
1258,3,0,29.0,0,2,15.2458,0,23,1
1260,3,0,18.0,0,0,9.8417,2,8,1
1261,3,0,63.0,0,0,9.5875,2,8,1
1277,3,1,22.0,0,0,7.225,0,5,1
1286,3,0,38.0,0,0,7.2292,0,23,1
1299,3,1,27.0,1,0,14.4542,0,23,0
